,index,redirect_url,description,title,posted_date,company,area_json,location,retrieved_date,raw_payload,job_hash,ai_score,model_version,ai_justification,prompt_version,model_implementation
0,0,https://www.adzuna.fr/land/ad/5515842468?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=8711B6D803517058E95DB4ECD4B4959177068655,"rejoignez-nous pour transformer l'innovation en solutions concrètes ! nous recherchons un machine learning engineer passionné par l'industrialisation de modèles ml et l'optimisation des workflows data, prêt à relever des défis techniques stimulants dans un environnement innovant et collaboratif. votre mission : transformer les poc en solutions scalables - industrialiser les modèles ml et garantir leur performance en production. - développer et optimiser des pipelines de données et d'entraînemen…",machine learning engineer - industrialisation des modèles h/f,2025-11-27,MP DATA,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-12-18,"{""salary_is_predicted"": ""0"", ""latitude"": 48.863839, ""salary_max"": 70000, ""longitude"": 2.344631, ""description"": ""Rejoignez-nous pour transformer l'innovation en solutions concr\u00e8tes ! Nous recherchons un Machine Learning Engineer passionn\u00e9 par l'industrialisation de mod\u00e8les ML et l'optimisation des workflows data, pr\u00eat \u00e0 relever des d\u00e9fis techniques stimulants dans un environnement innovant et collaboratif. Votre mission : transformer les POC en solutions scalables - Industrialiser les mod\u00e8les ML et garantir leur performance en production. - D\u00e9velopper et optimiser des pipelines de donn\u00e9es et d'entra\u00eenemen\u2026"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFYaXBRSGM4QkdDT01TRUY1UVRDQSIsImkiOiI1NTE1ODQyNDY4In0.SWwEV-IBy1G8ZUhhoov4v8yASYhTwQLJTI9SNW1XFOY"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5515842468"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5515842468?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=8711B6D803517058E95DB4ECD4B4959177068655"", ""contract_time"": ""full_time"", ""created"": ""2025-11-27T06:48:34Z"", ""location"": {""area"": [""France"", ""Ile-de-France"", ""Paris""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Paris, Ile-de-France""}, ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""MP Data""}, ""title"": ""Machine Learning Engineer - Industrialisation des Mod\u00e8les H/F"", ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""label"": ""Unknown"", ""tag"": ""unknown""}, ""salary_min"": 50000}",11707244923166178163,7,gpt-3.5-turbo,"Match: 7
Justification: The job posting aligns well with the user's ideal job description of building infrastructure for data science and AI services. The job requires skills in ML engineering and data workflows, which the user possesses.",v1,LLM_scoring
1,1,https://www.adzuna.fr/land/ad/5537584801?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=C821CE1672E35C4DA61917661B012957354DCCDB,"l'approche de starclay au sein du groupe partenor se caractérise par une double compétence métier et si ; mettre les utilisateurs au centre de tous les projets depuis la formalisation des besoins jusqu'à la formation de ces derniers. nous nous positionnons en tant qu'acteur clé dans les dispositifs d'amélioration continue notamment à travers l'ia générative. dans le cadre du renforcement de nos équipes, nous recherchons des data scientist confirmés et ayant des connaissances en ia gen pour inte…",data scientist ia,2025-12-11,STARCLAY,"[""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Puteaux""]","Puteaux, Nanterre",2025-12-18,"{""created"": ""2025-12-11T08:00:56Z"", ""salary_is_predicted"": ""0"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""StarClay""}, ""title"": ""Data Scientist IA"", ""latitude"": 48.88328, ""location"": {""area"": [""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Puteaux""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Puteaux, Nanterre""}, ""description"": ""L'approche de Starclay au sein du Groupe Partenor se caract\u00e9rise par une double comp\u00e9tence M\u00e9tier et SI ; mettre les utilisateurs au centre de tous les projets depuis la formalisation des besoins jusqu'\u00e0 la formation de ces derniers. Nous nous positionnons en tant qu'acteur cl\u00e9 dans les dispositifs d'am\u00e9lioration continue notamment \u00e0 travers l'IA g\u00e9n\u00e9rative. Dans le cadre du renforcement de nos \u00e9quipes, nous recherchons des data scientist confirm\u00e9s et ayant des connaissances en IA gen pour inte\u2026"", ""longitude"": 2.23762, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUzNzU4NDgwMSIsInMiOiIxQVhpcFFIYzhCR0NPTVNFRjVRVENBIn0.CK6dfir-0a-_UmGVurjexioNv_hISiT2q1LxTZfcT7s"", ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""label"": ""Unknown"", ""tag"": ""unknown""}, ""id"": ""5537584801"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5537584801?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=C821CE1672E35C4DA61917661B012957354DCCDB"", ""__CLASS__"": ""Adzuna::API::Response::Job""}",5060606461250167401,2,gpt-3.5-turbo,"Match Score: 2/10
Justification: The job posting is for a data scientist role, which is not a direct match for the user's ideal job description of building infrastructure for data science and AI services. Additionally, the job posting does not mention the required skills of Python, Cloud, or SQL.",v1,LLM_scoring
2,2,https://www.adzuna.fr/land/ad/5537585444?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=8F27013F3D6027FE8C39A8B4269097B5695A8BE5," rejoignez une entreprise innovante et stimulez votre carrière en tant que data engineer ! vous êtes passionné(e) par le traitement de données à grande échelle, les environnements cloud, et les technologies de pointe ? nous avons le défi qu’il vous faut ! nous recherchons un(e) data engineer expérimenté(e) pour rejoindre une mission aux forts enjeux, afin de travailler sur des projets captivants liés à la gestion de données massives et à l’ optimisation de pipelines de données dans un environne…",data engineer,2025-12-11,DEGETEL,"[""France"", ""Ile-de-France""]","Ile-de-France, France",2025-12-18,"{""latitude"": 48.811332, ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Ile-de-France, France"", ""area"": [""France"", ""Ile-de-France""]}, ""title"": ""Data engineer"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Degetel""}, ""salary_is_predicted"": ""0"", ""created"": ""2025-12-11T08:01:12Z"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5537585444?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=8F27013F3D6027FE8C39A8B4269097B5695A8BE5"", ""id"": ""5537585444"", ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""unknown"", ""label"": ""Unknown""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUzNzU4NTQ0NCIsInMiOiIxQVhpcFFIYzhCR0NPTVNFRjVRVENBIn0.uJTzFqF-eNJg9-EfolzYR2p2e_h4iFm0mUFwoHgyDPM"", ""description"": "" Rejoignez une entreprise innovante et stimulez votre carri\u00e8re en tant que Data Engineer ! Vous \u00eates passionn\u00e9(e) par le traitement de donn\u00e9es \u00e0 grande \u00e9chelle, les environnements cloud, et les technologies de pointe ? Nous avons le d\u00e9fi qu\u2019il vous faut ! Nous recherchons un(e) Data Engineer exp\u00e9riment\u00e9(e) pour rejoindre une mission aux forts enjeux, afin de travailler sur des projets captivants li\u00e9s \u00e0 la gestion de donn\u00e9es massives et \u00e0 l\u2019 optimisation de pipelines de donn\u00e9es dans un environne\u2026"", ""longitude"": 2.351634}",444278858951772392,8,gpt-3.5-turbo,"Score: 8
Justification: This job matches well with the user's ideal job description and skills in Python, Cloud, and SQL. The job as a data engineer at DEGETEL involves working on projects related to data management and optimization, aligning with the user's expertise.",v1,LLM_scoring
3,3,https://www.adzuna.fr/land/ad/5529000607?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=137CD031529A04E7FA16C2572E0CA46640BE0C61,"dans un contexte de forte croissance de nos activités data & ia, mp data renforce son équipe toulousaine et recherche un ml engineer (f/h) avec au moins 2 ans d'expérience dans l'industrialisation de modèles ia/ml. chez mp data, nous accompagnons les acteurs industriels, technologiques et scientifiques dans la mise en production de solutions d'intelligence artificielle fiables, scalables et mesurables. notre ambition : transformer des prototypes performants en solutions industrielles robustes, …",consultant ml - ai engineer h/f,2025-12-05,MP DATA,"[""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse"", ""Rangueuil""]","Rangueuil, Toulouse",2025-12-18,"{""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5529000607"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5529000607?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=137CD031529A04E7FA16C2572E0CA46640BE0C61"", ""contract_time"": ""full_time"", ""description"": ""Dans un contexte de forte croissance de nos activit\u00e9s Data & IA, MP DATA renforce son \u00e9quipe toulousaine et recherche un ML Engineer (F/H) avec au moins 2 ans d'exp\u00e9rience dans l'industrialisation de mod\u00e8les IA/ML. Chez MP DATA, nous accompagnons les acteurs industriels, technologiques et scientifiques dans la mise en production de solutions d'intelligence artificielle fiables, scalables et mesurables. Notre ambition : transformer des prototypes performants en solutions industrielles robustes, \u2026"", ""longitude"": 1.44295, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyOTAwMDYwNyIsInMiOiIxQVhpcFFIYzhCR0NPTVNFRjVRVENBIn0.HE_0KrAXGhWYZqpxGVmspD6k0r55T1RnbHOSQA7-Ghk"", ""latitude"": 43.60436, ""salary_max"": 58000, ""salary_is_predicted"": ""0"", ""category"": {""label"": ""Unknown"", ""tag"": ""unknown"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""salary_min"": 40000, ""location"": {""display_name"": ""Rangueuil, Toulouse"", ""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse"", ""Rangueuil""]}, ""company"": {""display_name"": ""MP Data"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""title"": ""Consultant Ml - Ai Engineer H/F"", ""created"": ""2025-12-05T08:09:21Z""}",17066722481708403197,5,gpt-3.5-turbo,"Match: 5/10
Justification: The job posting requires at least 2 years of experience, which is slightly above the user's level of experience. However, the job description aligns well with the user's ideal job of building infrastructure for data science and AI services.",v1,LLM_scoring
4,4,https://www.adzuna.fr/land/ad/5539218231?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=10DD65DBD72C933D7B4CE8654029AEDE19C05194,"votre rôle dans l’équipe : concevoir, construire et optimiser des pipelines de données robustes et scalables sur aws (glue, lambda, step functions, emr, kinesis). structurer, transformer et fiabiliser les données issues de multiples sources (internes & externes) afin de garantir leur disponibilité et leur qualité. déployer et maintenir des architectures data modernisées : data lake, data warehouse, ingestion temps réel, gouvernance. collaborer étroitement avec les data scientists, analystes, eq…",data engineer aws,2025-12-12,KOLAB,"[""France""]",France,2025-12-18,"{""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""unknown"", ""label"": ""Unknown""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUzOTIxODIzMSIsInMiOiIxQVhpcFFIYzhCR0NPTVNFRjVRVENBIn0.cHyJEST_nVoqAspOv2FEe8lGb3dUkl_Ke6SEgbpW26s"", ""description"": ""Votre r\u00f4le dans l\u2019\u00e9quipe : Concevoir, construire et optimiser des pipelines de donn\u00e9es robustes et scalables sur AWS (Glue, Lambda, Step Functions, EMR, Kinesis). Structurer, transformer et fiabiliser les donn\u00e9es issues de multiples sources (internes & externes) afin de garantir leur disponibilit\u00e9 et leur qualit\u00e9. D\u00e9ployer et maintenir des architectures data modernis\u00e9es : Data Lake, Data Warehouse, ingestion temps r\u00e9el, gouvernance. Collaborer \u00e9troitement avec les Data Scientists, Analystes, Eq\u2026"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5539218231?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=10DD65DBD72C933D7B4CE8654029AEDE19C05194"", ""id"": ""5539218231"", ""salary_is_predicted"": ""0"", ""created"": ""2025-12-12T08:01:19Z"", ""location"": {""area"": [""France""], ""display_name"": ""France"", ""__CLASS__"": ""Adzuna::API::Response::Location""}, ""title"": ""Data Engineer AWS"", ""company"": {""display_name"": ""Kolab"", ""__CLASS__"": ""Adzuna::API::Response::Company""}}",9097065856263618710,8,gpt-3.5-turbo,"Score: 8
Justification: This job matches well with the user's ideal job description and skills in Python, Cloud, and SQL. The job involves building robust data pipelines on AWS, which aligns with their expertise in data engineering.",v1,LLM_scoring
5,5,https://www.adzuna.fr/land/ad/5382304739?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=6E7F7086191996B80DDCC2EB99DB66218F033E83,"vous souhaitez intégrer des projets ambitieux ? nous vous proposons une opportunité de data engineer (f/h). parlons de votre mission dans le cadre de notre offre digital & innovation et du fort développement de notre présence chez nos clients grand comptes, nous recherchons un data engineer. grâce à des compétences éprouvées, vous : - concevrez et implémenterez des pipelines etl robustes et performants - gérerez et optimiserez des bases de données relationnelles et non relationnelles - développ…",data engineer h/f,2025-09-04,SYNCHRONE,"[""France"", ""Hauts-De-France"", ""Nord"", ""Lille"", ""La-Madeleine""]","La-Madeleine, Lille",2025-12-18,"{""salary_is_predicted"": ""0"", ""created"": ""2025-09-04T03:23:44Z"", ""latitude"": 50.63718, ""location"": {""area"": [""France"", ""Hauts-De-France"", ""Nord"", ""Lille"", ""La-Madeleine""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""La-Madeleine, Lille""}, ""title"": ""Data Engineer H/F"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Synchrone""}, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""it-jobs"", ""label"": ""Emplois Informatique""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFYaXBRSGM4QkdDT01TRUY1UVRDQSIsImkiOiI1MzgyMzA0NzM5In0.k7goZc2Sh8yDg3HizSqnEJtGdgrKgrCmRg6Xm7dEKn8"", ""longitude"": 3.06302, ""description"": ""Vous souhaitez int\u00e9grer des projets ambitieux ? Nous vous proposons une opportunit\u00e9 de Data engineer (F/H). Parlons de votre mission Dans le cadre de notre Offre Digital & Innovation et du fort d\u00e9veloppement de notre pr\u00e9sence chez nos clients grand comptes, nous recherchons un Data engineer. Gr\u00e2ce \u00e0 des comp\u00e9tences \u00e9prouv\u00e9es, vous : - Concevrez et impl\u00e9menterez des pipelines ETL robustes et performants - G\u00e9rerez et optimiserez des bases de donn\u00e9es relationnelles et non relationnelles - D\u00e9velopp\u2026"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5382304739?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=6E7F7086191996B80DDCC2EB99DB66218F033E83"", ""id"": ""5382304739""}",2524934073796667849,8,gpt-3.5-turbo,"Match: 8/10
Justification: This job as a data engineer at SYNCHRONE aligns well with the user's ideal job description of building infrastructure for data science and AI services. The required skills of Python, Cloud, and SQL also match the user's profile.",v1,LLM_scoring
6,6,https://www.adzuna.fr/details/5516185896?utm_medium=api&utm_source=ef4a1e8d,"description dsi, distribution services industriels est une entreprise adaptée et inclusive qui a pour vocation la création d'emplois durables et qualifiants pour une majorité de personnes en situation de handicap. notre métier premier : l'inclusion. nous proposons du service aux entreprises (sous traitance et co traitance). dsi a été fondée en 1994 et elle est implantée au niveau national : occitanie, ile-de-france, hauts-de-france, nouvelle aquitaine, paca, pays de la loire et auvergne rhône-a…",développeur/développeuse python orienté data analyse / data engineering,2025-11-27,DSI ENTREPRISE ADAPTÉE ETLUSIVE,"[""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse"", ""Rangueuil""]","Rangueuil, Toulouse",2025-12-18,"{""salary_is_predicted"": ""0"", ""created"": ""2025-11-27T18:03:08Z"", ""latitude"": 43.60436, ""location"": {""display_name"": ""Rangueuil, Toulouse"", ""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse"", ""Rangueuil""]}, ""title"": ""D\u00e9veloppeur/D\u00e9veloppeuse Python orient\u00e9 Data Analyse / Data Engineering"", ""company"": {""display_name"": ""DSI Entreprise Adapt\u00e9e etlusive"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""category"": {""label"": ""Unknown"", ""tag"": ""unknown"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFYaXBRSGM4QkdDT01TRUY1UVRDQSIsImkiOiI1NTE2MTg1ODk2In0.Q-qSxijHDR_egAzLBdJsgYAyWXF5i_YYUcNy58Ay7l8"", ""description"": ""Description DSI, Distribution Services Industriels est une Entreprise Adapt\u00e9e et inclusive qui a pour vocation la cr\u00e9ation d'emplois durables et qualifiants pour une majorit\u00e9 de personnes en situation de handicap. Notre m\u00e9tier premier : l'inclusion. Nous proposons du service aux entreprises (sous traitance et co traitance). DSI a \u00e9t\u00e9 fond\u00e9e en 1994 et elle est implant\u00e9e au niveau national : Occitanie, Ile-de-France, Hauts-De-France, Nouvelle Aquitaine, PACA, Pays de la Loire et Auvergne Rh\u00f4ne-A\u2026"", ""longitude"": 1.44295, ""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/details/5516185896?utm_medium=api&utm_source=ef4a1e8d"", ""id"": ""5516185896""}",1832907965597831931,2,gpt-3.5-turbo,"Score: 2
Justification: The job posting is not a good match as it focuses more on inclusivity and industrial services rather than data science and AI infrastructure building.",v1,LLM_scoring
7,7,https://www.adzuna.fr/land/ad/5540655523?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=6271B9F5761CC0AFAA07D8C78DF8A6FB37E77BE3,"vos missions ? intégré(e) à nos équipes ou chez nos clients, vous contribuez à développer et valoriser l'ensemble des données en résolvant des problématiques business concrètes via les technologies liées à la data a ce titre, vos missions seront les suivantes : - concevoir et mettre en place des architectures de données en choisissant les technologies adaptées aux besoins. - gestion des bases de données en garantissant la performance et la scalabilité des solutions de stockage. - analyser et ex…",data engineer h/f,2025-12-13,AMILTONE,"[""France"", ""Hauts-De-France"", ""Nord"", ""Lille"", ""La-Madeleine""]","La-Madeleine, Lille",2025-12-18,"{""title"": ""Data Engineer H/F"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Amiltone""}, ""location"": {""area"": [""France"", ""Hauts-De-France"", ""Nord"", ""Lille"", ""La-Madeleine""], ""display_name"": ""La-Madeleine, Lille"", ""__CLASS__"": ""Adzuna::API::Response::Location""}, ""latitude"": 50.63718, ""created"": ""2025-12-13T04:23:45Z"", ""salary_is_predicted"": ""0"", ""contract_time"": ""full_time"", ""id"": ""5540655523"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5540655523?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=6271B9F5761CC0AFAA07D8C78DF8A6FB37E77BE3"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0MDY1NTUyMyIsInMiOiIxQVhpcFFIYzhCR0NPTVNFRjVRVENBIn0.0E_Q263QjYNzuOUC337InqYAjLebEhIdqZtVd-tTGNc"", ""description"": ""Vos missions ? Int\u00e9gr\u00e9(e) \u00e0 nos \u00e9quipes ou chez nos clients, vous contribuez \u00e0 d\u00e9velopper et valoriser l'ensemble des donn\u00e9es en r\u00e9solvant des probl\u00e9matiques business concr\u00e8tes via les technologies li\u00e9es \u00e0 la Data A ce titre, vos missions seront les suivantes : - Concevoir et mettre en place des architectures de donn\u00e9es en choisissant les technologies adapt\u00e9es aux besoins. - Gestion des bases de donn\u00e9es en garantissant la performance et la scalabilit\u00e9 des solutions de stockage. - Analyser et ex\u2026"", ""longitude"": 3.06302, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""unknown"", ""label"": ""Unknown""}}",13228751026698069795,7,gpt-3.5-turbo,"Match Score: 7
Justification: The job posting aligns well with the user's skills in Python, Cloud, and SQL, as well as their ideal job of building infrastructure for data science and AI services. However, the level of experience required may be slightly higher than the user's 1-2 years.",v1,LLM_scoring
8,8,https://www.adzuna.fr/details/5517965711?utm_medium=api&utm_source=ef4a1e8d,"contrat à durée indéterminée si vous aimez les bons produits, le bon sens et la bonne ambiance, rejoignez-nous. au sein du service data gouvernance et exploitation, composé de 15 personnes, vous rejoignez le lab ia, rattaché au responsable du lab ia et de l’équipe bi. au programme, des missions aux petits oignons : concevoir, développer et mettre en œuvre des solutions data science robustes et évolutives, collecter, nettoyer et analyser des données à grande échelle, développer et optimiser des …",data scientist confirmé (h/f),2025-11-28,PROSOL,"[""France""]",France,2025-12-18,"{""created"": ""2025-11-28T18:15:44Z"", ""salary_is_predicted"": ""0"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Prosol""}, ""title"": ""Data Scientist Confirm\u00e9 (H/F)"", ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""France"", ""area"": [""France""]}, ""description"": ""Contrat \u00e0 dur\u00e9e ind\u00e9termin\u00e9e Si vous aimez les bons produits, le bon sens et la bonne ambiance, rejoignez-nous. Au sein du service Data gouvernance et exploitation, compos\u00e9 de 15 personnes, vous rejoignez le Lab IA, rattach\u00e9 au Responsable du Lab IA et de l\u2019\u00e9quipe BI. Au programme, des missions aux petits oignons : Concevoir, d\u00e9velopper et mettre en \u0153uvre des solutions data science robustes et \u00e9volutives, Collecter, nettoyer et analyser des donn\u00e9es \u00e0 grande \u00e9chelle, D\u00e9velopper et optimiser des \u2026"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUxNzk2NTcxMSIsInMiOiIxQVhpcFFIYzhCR0NPTVNFRjVRVENBIn0.m0h4lo-oMHHO10Y1dBn6VCZo6eA6QFDSWdZ94r1Anw4"", ""category"": {""label"": ""Unknown"", ""tag"": ""unknown"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""redirect_url"": ""https://www.adzuna.fr/details/5517965711?utm_medium=api&utm_source=ef4a1e8d"", ""id"": ""5517965711"", ""contract_time"": ""full_time"", ""__CLASS__"": ""Adzuna::API::Response::Job""}",18023154280082514391,3,gpt-3.5-turbo,"Score: 3
Justification: The job posting is more focused on data science tasks rather than building infrastructure for data science and AI services, which may not align well with the user's ideal job description as a Cloud/Data/ML engineer.",v1,LLM_scoring
9,9,https://www.adzuna.fr/land/ad/5525331484?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=E3F13E8FFDC95DDAA851C4E032A6465485820F6B,"missions pour le data scientist/ml engineer : - conception et développement : appliquer python, java, scala, r, c++ pour développer des modèles de machine learning innovants. - infrastructure ml : utiliser cloud (aws/gcp/azure), docker, kubernetes, openshift, redhat pour déployer et gérer des environnements ml scalables. - automatisation des workflows : mettre en oeuvre ci/cd, airflow, kafka pour automatiser les pipelines de données et d'apprentissage machine. - optimisation des algorithmes : a…",data scientist h/f,2025-12-03,PIXIE SERVICES FRANCE,"[""France"", ""Hauts-De-France"", ""Nord"", ""Lille"", ""La-Madeleine""]","La-Madeleine, Lille",2025-12-18,"{""salary_is_predicted"": ""0"", ""created"": ""2025-12-03T06:37:02Z"", ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""La-Madeleine, Lille"", ""area"": [""France"", ""Hauts-De-France"", ""Nord"", ""Lille"", ""La-Madeleine""]}, ""latitude"": 50.63718, ""title"": ""Data Scientist H/F"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Pixie Services France""}, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""label"": ""Emplois Autres/G\u00e9n\u00e9ral"", ""tag"": ""other-general-jobs""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFYaXBRSGM4QkdDT01TRUY1UVRDQSIsImkiOiI1NTI1MzMxNDg0In0.QxgmsRy8HCFgw4R-NFrOo31A8QATbL_huIOOpQjrBkU"", ""description"": ""Missions pour le Data Scientist/ML Engineer : - Conception et d\u00e9veloppement : Appliquer Python, Java, Scala, R, C++ pour d\u00e9velopper des mod\u00e8les de machine learning innovants. - Infrastructure ML : Utiliser Cloud (AWS/GCP/Azure), Docker, Kubernetes, OpenShift, RedHat pour d\u00e9ployer et g\u00e9rer des environnements ML scalables. - Automatisation des workflows : Mettre en oeuvre CI/CD, Airflow, Kafka pour automatiser les pipelines de donn\u00e9es et d'apprentissage machine. - Optimisation des algorithmes : A\u2026"", ""longitude"": 3.06302, ""__CLASS__"": ""Adzuna::API::Response::Job"", ""contract_time"": ""full_time"", ""id"": ""5525331484"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5525331484?se=1AXipQHc8BGCOMSEF5QTCA&utm_medium=api&utm_source=ef4a1e8d&v=E3F13E8FFDC95DDAA851C4E032A6465485820F6B""}",15759887552246320198,8,gpt-3.5-turbo,"Match Score: 8
Justification: This job aligns well with the user's ideal job description and skills in Python, Cloud, and ML engineering. The job involves building infrastructure for data science and AI services, which fits the user's profile.",v1,LLM_scoring
